都道府県名,1住宅あたり延べ面積(m^2)
北海道,91.23
青森県,121.58
岩手県,119.9
宮城県,97.24
秋田県,131.93
山形県,135.18
福島県,112.65
茨城県,107.79
栃木県,106.54
群馬県,107.14
埼玉県,87.15
千葉県,89.74
東京都,65.9
神奈川県,78.24
新潟県,128.95
富山県,145.17
石川県,126.6
福井県,138.43
山梨県,111.94
長野県,121.62
岐阜県,121.77
静岡県,103.15
愛知県,95.01
三重県,110.42
滋賀県,115.49
京都府,86.93
大阪府,76.98
兵庫県,93.4
奈良県,110.87
和歌山県,105.72
鳥取県,121.52
島根県,123.08
岡山県,105.64
広島県,93.52
山口県,102.3
徳島県,111.05
香川県,108.58
愛媛県,99.95
高知県,95.32
福岡県,84.66
佐賀県,112.48
長崎県,97.2
熊本県,99.57
大分県,98.02
宮崎県,94.39
鹿児島県,88.67
沖縄県,75.77
